"","Entity","Code","Year","million_tonnes","type"
"1","Additives",NA,2015,25000000,"production"
"2","All industrial sectors",NA,2015,407000000,"production"
"3","Building and Construction",NA,2015,65000000,"production"
"4","Consumer & Institutional Products",NA,2015,42000000,"production"
"5","Electrical/Electronic",NA,2015,18000000,"production"
"6","HDPE",NA,2015,52000000,"production"
"7","Industrial Machinery",NA,2015,3000000,"production"
"8","LD, LDPE",NA,2015,64000000,"production"
"9","Other polymer type",NA,2015,16000000,"production"
"10","Other sectors",NA,2015,47000000,"production"
"11","PET",NA,2015,33000000,"production"
"12","PP",NA,2015,68000000,"production"
"13","PP&A fibers",NA,2015,59000000,"production"
"14","PS",NA,2015,25000000,"production"
"15","PUT",NA,2015,27000000,"production"
"16","PVC",NA,2015,38000000,"production"
"17","Packaging",NA,2015,146000000,"production"
"18","Textiles",NA,2015,59000000,"production"
"19","Transportation",NA,2015,27000000,"production"
"20","Additives",NA,2015,17000000,"waste"
"21","All industrial sectors",NA,2015,302000000,"waste"
"22","Building and Construction",NA,2015,13000000,"waste"
"23","Consumer & Institutional Products",NA,2015,37000000,"waste"
"24","Electrical/Electronic",NA,2015,13000000,"waste"
"25","HDPE",NA,2015,40000000,"waste"
"26","Industrial Machinery",NA,2015,1000000,"waste"
"27","LD, LDPE",NA,2015,57000000,"waste"
"28","Other polymer type",NA,2015,11000000,"waste"
"29","Other sectors",NA,2015,38000000,"waste"
"30","PET",NA,2015,32000000,"waste"
"31","PP",NA,2015,55000000,"waste"
"32","PP&A fibers",NA,2015,42000000,"waste"
"33","PS",NA,2015,17000000,"waste"
"34","PUT",NA,2015,16000000,"waste"
"35","PVC",NA,2015,15000000,"waste"
"36","Packaging",NA,2015,141000000,"waste"
"37","Textiles",NA,2015,42000000,"waste"
"38","Transportation",NA,2015,17000000,"waste"
